Name,Category,Topics,Text,Content Warning
Munchkin,Work and Employment,Pawn Shops,"I worked at one for over three and a half years. This doesn't sound like much in the grand scheme of things, but I survived a take-over, three managers, and being held at gun-point, as well as two snatch-and-grabs and one smash-and-grab (a whole bag of experiences in and of themselves x.x). I was expected not just to be a sales person, but dealt in loans, buys, and of course haggling.",no
Munchkin,Luxury Items,Jewelry; Selling,"The most important income for the pawn shop. Testing gold, sizing diamonds, weeding out the real from the cz and gold plated/gold filled junk, we were expected to handle it all. We weren't expected to pay based off of colored stones though or silver, nor in grading diamonds (though we could at least tell if it was frozen snot or actually worth something). To this day I find myself dishing out advice to friends and family about prices and where to find the best deals.",no
Munchkin,Crime,Robbery,"As mentioned above, I have experience in being held at gun point, being a direct victim of two very different snatch-and-grabs, and being a less direct victim of a smash-and-grab. I had to turn inward to really disect the experiences at one point and am willing to be an open book about them.",no
Munchkin,War and Fighting,Martial Arts; Taekwondo,"I earned my black belt back in '98. It's been years since I've taken a class, but I still remember quite a bit of the history, technique, forms, step fighting... I also participated in the 7th and 8th annual Jimmy Kim Tournaments, as well as an open invitational my school held. I don't know if I'd be of any use for writing fight scenes, but I can at least give an idea of how the school was run, the form side of participating in tournaments, and help with technique.",no
Munchkin,Living Situations,Homelessness,"I lived on the streets for a total of four months. It was toward the end of summer, with about a month-long spell in winter in NorCal. There's a lot that can be said here, but I think I'll keep it relatively short for now. I will say though that I came from a high-middle-class family that wound up having to file for bankruptcy, to a low-middle-class family that actually knew how to budget for things, to cutting all ties and building my own life from the ground-up. I literally lived under a bridge during that time. I know what it means to go from everything to nothing to something.",no
Munchkin,Religion,Christianity; Latter Day Saints,"I'm technically an inactive member. My experiences are from a church in NorCal, where trailor trash yuppies ran rampant >.> I do have some great experiences and some not-so-great though. Didn't quite make it to the real 'meat and potatoes' of it all, but I did last a little over a year after baptism. I also know some very pointed differences between the main branch and the 'reformed' branch.",no
Munchkin,Writing,Poetry,"I used to write it all the time. I wouldn't really call myself an expert what with how long it's been with only the ocassional dabble, but I still enjoy reading and commenting and aiding in the making. I was also the Editor-in-chief for Civilized Beasts: 2016 Edition (link in my signature! [/shameless plug]) and will be for the 2017 Edition.",no
Munchkin,Education,Private School; Gifted and Talented,"I attended Pilgrim Lutherin Church and School in Chula Vista way back when I was a wee kitten. I don't have much in the way of memories since I left it at the age of 8, but I remember clearly what the transition was like x.x Trust me, it sucked. The only thing I had to look forward to was two years of Gifted And Talented Education, which was advanced classes held once a week after school. Yep, I learned the Scientific Method in the 3rd or 4th grade.",no
Munchkin,Sex and Sexuality,Misc; Polyamory; Multiple Partners,"""I have had some. With other people. I thought this worth mentioning as some writers of furry erotica clearly haven’t."" I've also been part of threesome relationships before. I could probably write a whole novella on those experiences in and of themselves, but would rather not x.x",no
Munchkin,Kink and Fetish,Master/slave or Owner/pet,"I probably haven't spent near as much time in one as quite a number of others, but I've paid my dues. I've both been collared and collared people, and have a decent understanding for the multitude of variety under the big huge umbrella of BDSM beyond some of the cliches. Though I no longer run in those packs, there's still a collar on the nightstand that's tagged me as owned by Amenthor xp I also called upon this experience a bit in my story ""Home At Last"" found in Will of the Alpha: Volume 3",no
Munchkin,Mental Health,Bipolar Disorder; Suicidality,"To a lesser degree on the former with lower manic cycles, but definitely there depressive cycles (in this case, the definition of depression being lethargy, the difficulty in caring about things that used to excite, inspire, or enthuse, or anything at all really. Existing just for the sake of existing, etc). For the latter, both on the ""knife's edge against the wrist"" side (literally) and the ""lost loved ones to suicide"" side (literally).",no
Munchkin,Mental Health,Multiple Personality Disorder; Schizophrenia; Other than self,"Not living with as in having it, but I lived a few years with someone who had it. It was a very... interesting, and at a couple of rare times terrifying experience. I had borrowed from this experience a bit for my story ""Tech Flesh"", found in Furtual Horizons.",no
Munchkin,Mental Health,Panic Attacks; Other Than Self,"My ma had them due to a growth that was triggering her adrenal gland. Even when she had the growth removed, she still had some psychologic issues that would give her panic attacks. Lived with her like this for about a year and a half, maybe two years, and it led to my ma's gambling addiction.",no
Munchkin,Addiction,Gambling,"I got to watch the slow build-up over time, and how it can utterly destroy a family. It was due to her addiction that my dad had to file for bankruptcy, I spiraled into depression and suicidal thoughts, and led to their divorce. I have quite a few stories to tell about that time in my life.",no
